memo,fec_committee_id
CONTRIBUTION TO ACTBLUE,C00401224
EARMARKED FOR CHC BOLD PAC/COMMITTEE FOR HISPANIC CAUSES BUILDING OUR LEADERSHIP DIVERSITY (C0036553,C00365536
EARMARKED FOR NY PROGRESSIVE ACTION PAC2 (),C00688762
EARMARKED FOR SACRAMENTO COUNTY DEMOCRATIC CENTRAL COMMITTEE: UNITED CAMPAIGN COMMITTEE-FEDERAL (C00,C00274423
"EARMARKED FOR SISTER DISTRICT PROJECT, INC. ()",C00636944
EARKMARKED FOR PCCC RUBEN GALLEGO FOR AZ SENATE 2020 DRAFT FUND. HELD PURSUANT TO AO 2006-30,C00558627
EARKMARKED FOR DFA RUBEN GALLEGO FOR AZ SENATE 2020 DRAFT FUND. HELD PURSUANT TO AO 2006-30,C00558627
EARKMARKED FOR DITCH FUND AMY MCGRATH FOR KY SENATE 2020 DRAFT FUND. HELD PURSUANT TO AO 2006-30,C00711549
EARMARKED FOR JOAQUIN FOR TEXAS (PENDING),C00497933
EARMARKED FOR ACTBLUE TECHNICAL SERVICES (27-0160261),C00401224
EARMARKED FOR BRIANA URBINA FOR CONGRESS (),C00705087
EARMARKED FOR NATIONAL COMMITTEE TO DRAFT OPRAH WINFREY FOR PRESIDENT OF THE UNITED STATES 2010 (C00,C00666610
EARKMARKED FOR MCGRATH FOR US SENATE. HELD PURSUANT TO AO 2006-30,C00711549
EARKMARKED FOR 314 ACTION FUND JOHN HICKENLOOPER FOR CO SENATE 2020 DRAFT FUND. HELD PURSUANT TO AO,C00716720
"EARMARKED FOR LATINO LEADERS FOR EQUALITY, GROWTH, OPPORTUNITY, PROGRESSIVE ACTION AND CHANGE (C0057",C00576975
"EARMARKED FOR COMMITTEE TO ELECT JORGE ARTALEJO TO THE UNITED STATES HOUSE OF REPRESENTATIVES, TEXAS",C00705988
"EARMARKED FOR CALL TO ACTION PAC, INC. ()",C00742064
EARMARKED FOR UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION WORKING FAMILIES ADVOCACY PROJE,C00484253
