year,jurisdiction,democratic_nominee,republican_nominee,in_api_files
2011,CA36,matt_petersen,stephen_karl_eisele,0
2011,NV02,kate_marshall,william_r_graves,1
2011,NJ00,,rome_e_murphy_ii,0
2011,NY09,david_i_weprin,timothy_j_cochrane,0
2011,NY26,,jane_corwin,1
2011,OR01,todd_lee_ritter,jim_greenfield,0
2012,US,barack_obama,mitt_romney,0
2012,AZ,richard_carmona,wilford_r_cardon,1
2012,CA,dianne_feinstein,elizabeth_emken,0
2012,CT,chris_murphy,linda_mcmahon,1
2012,DE,tom_carper,kevin_l_wade,0
2012,FL,bill_nelson,connie_mack,0
2012,HI,mazie_hirono,linda_lingle,0
2012,IN,joseph_s_donnelly,richard_e_mourdock,1
2012,ME,cynthia_ann_dill,olympia_j_snowe,1
2012,MD,benjamin_l_cardin,daniel_j_bongino,0
2012,MA,elizabeth_warren,scott_p_brown,1
2012,MI,debbie_stabenow,peter_hoekstra,0
2012,MN,amy_klobuchar,kurt_patrick_bills,0
2012,MS,albert_n_gore_jr,roger_f_wicker,1
2012,MO,claire_mccaskill,john_brunner,0
2012,MT,jon_tester,dennis_ray_rehberg,0
2012,NE,bob_kerrey,debra_s_fischer,0
2012,NV,shelley_berkley,dean_heller,1
2012,NJ,bob_menendez,joseph_m_kyrillos_jr,0
2012,NM,martin_heinrich,heather_a_wilson,0
2012,NY,kirsten_gillibrand,george_maragos,0
2012,ND,heidi_heitkamp,richard_a_berg,1
2012,OH,sherrod_brown,josh_mandel,0
2012,PA,bob_casey,tom_smith,0
2012,RI,sheldon_whitehouse,barry_hinckley,0
2012,TN,mark_e_clayton,bob_corker,1
2012,TX,paul_lindsey_sadler,david_h_dewhurst,1
2012,UT,scott_n_howell,orrin_g_hatch,1
2012,VT,,john_macgovern,0
2012,VA,tim_kaine,george_allen,0
2012,WA,maria_cantwell,michael_james_baumgartner,0
2012,WV,joe_manchin_iii,john_reeves_raese,0
2012,WI,tammy_baldwin,tommy_g_thompson,1
2012,WY,tim_chesnut,john_barrasso,1
2012,AL01,,jo_bonner,0
2012,AL02,therese_ford,martha_roby,0
2012,AL03,john_andrew_harris,michael_rogers_al,0
2012,AL04,daniel_heath_boman,robert_b_aderholt,0
2012,AL05,charlie_lee_holley,mo_brooks,0
2012,AL06,penny_huggins_bailey,spencer_bachus,0
2012,AL07,terri_a_sewell,don_chamberlain,0
2012,AK00,matthew_edward_moore,donald_e_young,0
2012,AS00,eni_faleomavaega,aumua_amata,0
2012,AZ01,ann_kirkpatrick,jonathan_paton,1
2012,AZ02,ronald_barber,martha_mcsally,1
2012,AZ03,raul_grijalva,gabriela_saucedo_mercer,1
2012,AZ04,rebecca_dewitt,paul_anthony_gosar,0
2012,AZ05,spencer_collins_morgan,matt_salmon,1
2012,AZ06,matthew_jette,jeff_flake,1
2012,AZ07,ed_l_pastor,scott_michael_fistler,0
